xml_id,dimev_idno,match_kind,bodleian_shelfmark,cat_id,cat_url,n_facsimiles,facsimile_urls,file
Bod414,Bodley 414,abbrev,MS. Bodl. 414,manuscript_1446,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1446,1,https://digital.bodleian.ox.ac.uk/objects/2b1eeafa-489e-47e1-81ea-fa0a4cf631a5/,collections/Bodl/MS_Bodl_414.xml
Bod415,Bodley 415,abbrev,MS. Bodl. 415,manuscript_1447,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1447,0,,collections/Bodl/MS_Bodl_415.xml
Bod416,Bodley 416,abbrev,MS. Bodl. 416,manuscript_1448,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1448,0,,collections/Bodl/MS_Bodl_416.xml
Bod423,Bodley 423,abbrev,MS. Bodl. 423,manuscript_1456,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1456,1,https://digital.bodleian.ox.ac.uk/objects/813e261d-04ab-4d46-82af-35946f579faa/,collections/Bodl/MS_Bodl_423.xml
Bod424,Bodley 424,abbrev,MS. Bodl. 424,manuscript_1457,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1457,0,,collections/Bodl/MS_Bodl_424.xml
Bod425,Bodley 425,abbrev,MS. Bodl. 425,manuscript_1458,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1458,1,https://digital.bodleian.ox.ac.uk/objects/3603b0b5-efc2-4bcd-baf3-c7a19a51d0b9/,collections/Bodl/MS_Bodl_425.xml
Bod446,Bodley 446,abbrev,MS. Bodl. 446,manuscript_1479,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1479,0,,collections/Bodl/MS_Bodl_446.xml
Bod457,Bodley 457,abbrev,MS. Bodl. 457,manuscript_1491,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1491,0,,collections/Bodl/MS_Bodl_457.xml
Bod480,Bodley 480,abbrev,MS. Bodl. 480,manuscript_1513,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1513,0,,collections/Bodl/MS_Bodl_480.xml
Bod534,Bodley 534,abbrev,MS. Bodl. 534,manuscript_1557,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1557,0,,collections/Bodl/MS_Bodl_534.xml
Bod546,Bodley 546,abbrev,MS. Bodl. 546,manuscript_1565,https://medieval.bodleian.ox.ac.uk/catalog/manuscript_1565,1,https://digital.bodleian.ox.ac.uk/objects/f9e580d2-6177-4c27-b811-df2fb75768b3/,collections/Bodl/MS_Bodl_546.xml
