term,category,count,new term
twelve-line stanzas,verseForms,1,12-line stanza
"twelve-line, tail-rhymed",verseForms,1,12-line stanza; tail rhyme
twelve-line?,verseForms,4,12-line stanza; tail rhyme; irregular
twenty-four-line stanza,verseForms,1,24-line stanza
twenty-one line,verseForms,4,21-line stanza
twenty-one-line,verseForms,2,21-line stanza
two-line,verseForms,2715,2-line (couplet)
two-line,versePattern,3,2-line (couplet)
two-line?,verseForms,1,2-line (couplet); irregular
two-line>,verseForms,1,2-line (couplet)
two-lines,verseForms,1,2-line (couplet)
unrhymed,verseForms,1,unrhymed
unrhymed,versePattern,7,
variable,verseForms,1,irregular
various,verseForms,2,irregular
varying rhyme (usually ababcdcd),versePattern,1,ababcdcd; 8-line stanza; irregular rhyme
virelai,,,
