Warnings from the latest run of `transform-Bibl.py`.
WARNING: Unprocessed `pubstmt` for item Kennedy1987: "Cambridge: D. S. Brewer, 1987: 71-87, plus 2 plates between 82 and 83"
WARNING: Unprocessed `pubstmt` for item Kinghorn1970: "London: Arnold, and Evanston, IL: Northwestern University Press, 1970"
WARNING: Unprocessed `pubstmt` for item Kinnear1827: "17. Edinburgh: Ballyntyne, 1827; repr. New York: AMS, 1971"
WARNING: Unprocessed `pubstmt` for item Knoop1933: "Manchester: University Press, 1933; repr. 1949; 3rd ed. 1967"
WARNING: Unprocessed `pubstmt` for item Kock1904-32: "e.s. 93 (1904; repr. 1973); e.s. 112 (1913; repr. 1973); o.s. 185 (1932)"
WARNING: Unprocessed `pubstmt` for item Kolbing1885-94: "46 (1885), 48 (1886), 65 (1894)"
WARNING: Unprocessed `pubstmt` for item Laing1823: "3. Edinburgh: Ballantyne, 1823; repr. 1882; repr. Hunterian Club 1880"
WARNING: Unprocessed `pubstmt` for item Laing1834a: "Edinburgh: Laing and Forbes, 1834; Supplement, 1865"
WARNING: Unprocessed `pubstmt` for item Laing1865b: "Edinburgh, 1865; anonymous"
WARNING: Unprocessed `pubstmt` for item Laing1868: "Edinburgh: Paterson, 1868; orig. published Edinburgh: Ros, 1578; repr. Mitchell, 1897"
WARNING: Unprocessed `pubstmt` for item Lauritis1961: "2. Pittsburgh: Duquesne University, 1961; orig. ed. diss. University Pennsylvania 1951 (Ralph Albert Klinefelter); 1952 (Vernon F. Gallagher), 1958 (Lauritis), in 3 vols"
WARNING: Unprocessed `pubstmt` for item Lekpreuik1570: "Edinburgh: Lekpreuik, 1570 (STC 13149)"
WARNING: Unprocessed `pubstmt` for item Linow1889: "1. Erlangen: Deichert, 1889; repr. Amsterdam: Rodopi, 1970"
WARNING: Unprocessed `pubstmt` for item Little1917: "Manchester: Manchester University Press; London: Longman’s, 1917"
